Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
SubSite,MA_PS5_C3-88,MA_PS5_C3_388_DL,C3_388_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132042,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-89,MA_PS5_C3_389_DL,C3_389_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132972,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-90,MA_PS5_C3_390_DL,C3_390_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191140086,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-91,MA_PS5_C3_391_DL,C3_391_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191135753,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-92,MA_PS5_C3_392_DL,C3_392_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134462,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-93,MA_PS5_C3_393_DL,C3_393_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191136440,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-94,MA_PS5_C3_394_DL,C3_394_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134479,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-95,MA_PS5_C3_395_DL,C3_395_DL,Hindawiyah Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134435,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-96,MA_PS5_C3_396_DL,C3_396_DL,Fayha_Flowmeter Data Logger,Data logger - Pressure sensor,Sofrel,,,4191108549,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-97,MA_PS5_C3_397_DL,C3_397_DL,Hamra_Ghrbiya_Fayha Data Logger,Data logger - Pressure sensor,Sofrel,,,4191119019,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-1,MA_PS5_C4_401_DL,C4_401_DL,Nakkasa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191123392,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-2,MA_PS5_C4_402_DL,C4_402_DL,Nakkasa Data Logger,Data logger - Pressure sensor,Sofrel,,,4191140098,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-3,MA_PS5_C4_403_DL,C4_403_DL,Ghunaim Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191139065,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-5,MA_PS5_C4_405_DL,C4_405_DL,Mansoor Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132396,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-6,MA_PS5_C4_406_DL,C4_406_DL,Mansoor Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191140115,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-7,MA_PS5_C4_407_DL,C4_407_DL,Jurhum Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134450,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-8,MA_PS5_C4_408_DL,C4_408_DL,Jurhum Street Data Logger,Data logger - Pressure sensor,Sofrel,,,4191139021,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-9,MA_PS5_C4_409_DL,C4_409_DL,Khalidaya 1 Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132434,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-10,MA_PS5_C4_410_DL,C4_410_DL,Khalidaya 1 Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132412,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-11,MA_PS5_C4_411_DL,C4_411_DL,Dist. Hijir Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132031,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-12,MA_PS5_C4_412_DL,C4_412_DL,Dist. Hijir Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132045,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-13,MA_PS5_C4_413_DL,C4_413_DL,Kudai Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132075,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C4-14,MA_PS5_C4_414_DL,C4_414_DL,Kudai Data Logger,Data logger - Pressure sensor,Sofrel,,,4191139055,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
